Day,Price,Inverse_Price,Volume,Pool_Liquidity,Sqrt_Price,Shock
2024-03-16,3525.1253281829704,0.000283677857353,11599119.660310678,937871.9797499769,59.37276587950885,0.0
2024-03-17,3647.9603293508,0.0002741257880339,7473658.692465102,1092408.8868888214,60.39834707465759,0.0342522077965809
2024-03-18,3525.1885356214166,0.000283672770944,9225274.746510483,966975.2336518595,59.37329817031741,-0.0342342774066241
2024-03-19,3160.354549226545,0.0003164201941344,33712913.51698381,1046794.6001901432,56.217030775615896,-0.1092496996893223
2024-03-20,3519.1216520193143,0.000284161816181,152082677.676282,8457350.20621237,59.32218515883677,0.107527207368421
2024-03-21,3490.4119575515288,0.0002864991330998,68789388.35078727,7948221.340473602,59.07970850936495,-0.0081916591344374
2024-03-22,3326.4532290141024,0.0003006204900997,76038482.40572919,7949861.084586348,57.67541269045331,-0.0481131286793304
2024-03-23,3340.646159015592,0.0002993432864181,44919598.81753786,7998746.947514418,57.79832315055162,0.0042576090786485
2024-03-24,3458.9597375546778,0.00028910426136,29401707.93237456,8059598.296896367,58.81292151861424,0.0348036409176648
2024-03-25,3590.1785099613203,0.0002785376819635,40515228.72635503,8157052.765734486,59.91809835067632,0.0372340355089272
2024-03-26,3594.9159574229097,0.0002781706197985,29785214.600760493,8124728.440228424,59.957618009915215,0.0013186877833282
2024-03-27,3497.0868698664767,0.0002859522903525,47007664.96681362,8116774.476547653,59.13617226255413,-0.0275903142434625
2024-03-28,3568.10639204646,0.0002802607013706,22703680.726365883,8094988.253354005,59.73362865293268,0.0201047336448206
2024-03-29,3514.2855403482317,0.0002845528596122,16066081.147555254,8064946.390896171,59.281409736512096,-0.015198788283278
2024-03-30,3509.188403452542,0.0002849661759443,11535492.551151076,8456524.192580424,59.23840311362674,-0.0014514577348281
2024-03-31,3640.079467579145,0.000274719277122,14485139.103554694,8453741.868843734,60.33307109354823,0.0366207265090837
2024-04-01,3504.905020854272,0.0002853144362115,32388466.363840945,8059593.834784649,59.20223830949529,-0.037842091230545
2024-04-02,3281.8857504667008,0.0003047028678124,84618978.38542135,8024654.913882353,57.28774520319944,-0.0657452408189215
2024-04-03,3316.6770157125047,0.0003015065968927,42649346.99158981,8002851.641407468,57.590598327439736,0.0105452016994658
2024-04-04,3327.948694298768,0.0003004854016268,35194203.477941595,8001490.004308358,57.68837572942029,0.0033927236507047
2024-04-05,3323.3752834785846,0.0003008989099038,39237471.70880653,8077681.521777645,57.64872317301212,-0.0013751883252751
2024-04-06,3361.874185,0.0002974531302991,13410755.98426698,8093382.6645567035,57.98167111251624,0.0115176934828168
2024-04-07,3448.140532009977,0.0002900113817046,15446739.644187938,8062627.737469832,58.72086964623376,0.025336497893279
2024-04-08,3701.9217468183656,0.0002701299671878,33188579.27772845,7678072.197861325,60.84341991389345,0.0710169663309566
2024-04-09,3498.431927578092,0.0002858423490012,39913413.23819311,8208023.647894406,59.14754371550937,-0.056537228433196
2024-04-10,3543.612754125637,0.0002821978780936,48052079.6971744,8243104.153018694,59.52825173080121,0.012831911337271
2024-04-11,3502.104770439379,0.0002855425709821,30174291.788664423,8122502.265961379,59.17858371437576,-0.0117826080176206
2024-04-12,3237.9683886589646,0.0003088356277666,82172664.7225177,7343886.109611064,56.90314919808011,-0.0784180581370432
2024-04-13,3012.6411680576607,0.0003319346527567,99838917.83167994,7340883.23199707,54.88753199095092,-0.0721289341098747
2024-04-14,3163.7095555966325,0.0003160846412816,70458872.4559582,7620079.602244525,56.24686262892031,0.0489280906193089
2024-04-15,3100.990680838584,0.0003224775895584,73492473.60536595,7714095.094866412,55.6865394941954,-0.0200236142020618
2024-04-16,3088.961764611909,0.0003237333693981,75336383.61141986,7890750.622880358,55.57842895055517,-0.0038865989600819
2024-04-17,2987.207760292324,0.0003347607800476,32661007.3832642,1606344.7908097692,54.65535436068752,-0.0334959442918281
2024-04-18,3071.166388415292,0.0003256091899716,36695721.20948321,8042330.208101825,55.41810524021272,0.0277183288732609
2024-04-19,3063.746137061121,0.0003263978003605,58137133.4780774,8057321.132052411,55.35111685468615,-0.0024190255172412
2024-04-20,3153.4143514573466,0.0003171165881,22240498.728539933,8023368.892984341,56.155270023902,0.0288473919105614
2024-04-21,3152.0455759055594,0.0003172542959543,21328082.516931184,8103986.200526213,56.14308128260827,-0.0004341556647905
2024-04-22,3206.6833236946272,0.0003118486919524,26625950.361354988,8067518.959589869,56.62758447695458,0.01718553924338
2024-04-23,3212.265647883162,0.0003113067565439,17974601.95145926,8232540.813544007,56.67685284031887,0.0017393269896935
2024-04-24,3130.9404733317274,0.000319392849694,31644409.258805797,8306660.261698347,55.95480741930695,-0.025643067352282
2024-04-25,3163.9406224954287,0.0003160615571891,35641107.36011142,8264055.733262765,56.248916633971085,0.0104848530021579
2024-04-26,3129.405729123864,0.0003195494884838,19680087.935645573,8740510.980881387,55.94109159753557,-0.0109751595088516
2024-04-27,3250.4547088297386,0.0003076492643578,28484723.83054751,8658890.692020804,57.01275917572959,0.0379517733381521
2024-04-28,3261.7159875736897,0.0003065870860031,20894495.08523769,8600789.226424573,57.11143482327939,0.0034585364831709
2024-04-29,3223.332290960732,0.0003102379493433,35692314.79546972,8675472.053390125,56.77439819989932,-0.0118377360338116
2024-04-30,3016.3488655182423,0.0003315266385236,42299556.520545945,8511274.87895764,54.92129701234524,-0.0663685823664111
2024-05-01,2971.319040987725,0.0003365508672093,21219527.8709596,1486013.3527086868,54.50980683315366,-0.0150411392806821
